domain,role,required_skills,tools,avg_salary_lpa,job_demand,months_to_ready,description
Business,CA (Chartered Accountant),"Accounting,Taxation,Auditing,Financial Reporting,Law","Tally,SAP,Excel,Zoho Books",10,High,36,Manage accounts audits and tax filings for businesses and individuals
Business,Investment Banker,"Finance,Valuation,Excel Modeling,Economics,Communication","Bloomberg,Excel,PowerPoint",20,Low,24,Help companies raise capital and execute mergers and acquisitions
Business,Digital Marketer,"SEO,Social Media,Content Strategy,Analytics,Paid Ads","Google Analytics,Meta Ads,HubSpot,Canva",6,Very High,4,Promote brands and products through online channels and campaigns
Business,HR Manager,"Recruitment,Labour Law,Communication,HRMS,Performance Management","Darwinbox,Excel,LinkedIn",7,Medium,12,Manage hiring training and employee relations in organisations
Creative Arts,Filmmaker,"Screenwriting,Direction,Cinematography,Editing,Storytelling","Premiere Pro,DaVinci Resolve,Final Cut Pro",5,Medium,12,Write direct and produce films short videos or documentaries
Creative Arts,Graphic Novel Artist,"Drawing,Storytelling,Inking,Digital Art,Character Design","Clip Studio Paint,Procreate,Photoshop",4,Low,18,Create illustrated stories and comic books for publishers or self-publish
Creative Arts,Music Producer,"Music Theory,DAW Skills,Mixing,Mastering,Sound Design","FL Studio,Ableton Live,Logic Pro",6,Medium,12,Compose and produce music tracks for artists films and brands
Creative Arts,Content Creator,"Video Editing,Script Writing,SEO,Social Media,Analytics","Premiere Pro,Canva,CapCut,YouTube Studio",4,Very High,3,Create engaging content for YouTube Instagram and other platforms
Creative Arts,Copywriter,"Writing,Research,SEO,Brand Voice,Storytelling","Google Docs,Grammarly,SEMrush,Notion",5,High,3,Write compelling text for ads websites emails and marketing campaigns
Govt & Law,IAS Officer,"General Knowledge,Essay Writing,CSAT,Ethics,Public Administration","NCERT Books,Drishti IAS App,Vision IAS",12,Low,24,Lead district administration and implement government policies
Govt & Law,Lawyer,"Constitutional Law,Criminal Law,Legal Research,Drafting,Advocacy","Manupatra,SCC Online,MS Word",8,Medium,60,Represent clients in courts and provide legal advice on disputes
Govt & Law,Banking PO,"Reasoning,Quantitative Aptitude,English,Banking Awareness,Computer","Oliveboard,Adda247,Excel",7,High,8,Manage banking operations and serve customers in public sector banks
Govt & Law,Defence Officer,"Physical Fitness,Leadership,GK,Mathematics,English","NDA Study Material,SSB Prep Books",8,Medium,12,Lead soldiers and defend the nation through Army Navy or Air Force
Science & Research,Research Scientist,"Research Methodology,Statistics,Academic Writing,Domain Knowledge,Lab Skills","R,Python,SPSS,MATLAB",8,Medium,60,Conduct original research and publish findings in science and technology
Science & Research,Data Analyst,"Excel,SQL,Python,Statistics,Data Visualization","Excel,Power BI,Tableau,Python",7,Very High,4,Collect clean and interpret data to help businesses make decisions
Science & Research,Biotechnologist,"Biology,Chemistry,Lab Techniques,Molecular Biology,Research","PCR Machine,ELISA,MATLAB",7,Medium,48,Apply biological systems to develop medicines agricultural products and tools
Science & Research,Astronomer,"Physics,Mathematics,Programming,Data Analysis,Optics","Python,MATLAB,Telescope Software",9,Low,60,Study stars galaxies and space phenomena through observation and theory
Science & Research,Forensic Scientist,"Chemistry,Biology,Criminal Law,Lab Skills,Attention to Detail","Mass Spectrometry,Microscopes,DNA Analysis Tools",6,Low,36,Analyse physical evidence from crime scenes to support legal investigations
